nev;cimsor;varos;irsz;szul;magassag
Kovács Ádám;Petőfi utca 1.;Szeged;6725;2078.06.27;155
Herczeg Henrik;Révai utca 19.;Szeged;6720;2051.04.04;177
Vas Krisztián;Deák Ferenc utca 66.;Szeged;6720;2070.01.15;171
Kispál László;Zrínyi Ilona utca 4.;Szeged;6722;2076.10.24;162
Bartucz Csaba;Dózsa György u. 65.;Hódmezővásárhely;6800;2076.11.10;171
Galambos Vivien Inez;Dobozi utca 3.;Szeged;6725;2042.08.31;176
Tűhegyi Anikó;Kistópart u.1.I.em.2.;Szeged;6721;2080.05.15;173
Kis László Péter;Rekettye utca 22.;Szeged;6710;2060.11.29;151
Gabnai Erika;Almásy u. 39.;Kecsekmét;6000;2048.07.24;157
Hakucsák Eszter;IV. ker. 109.;Hódmezővásárhely;6800;2067.09.29;172
Tóth Ibolya;Ormos Ede utca 12/A;Szeged;6722;2053.09.27;173
Mészáros Edit;Károlyi utca 62.;Szeged;6725;2055.02.14;175
Balog Erzsébet;Kistópart u.3.;Hódmezővásárhely;6800;2049.08.18;154
Balassa Péter Henrik;Móricz Zs. u.1.;Szeged;6720;2088.09.15;152
Király Katalin;Damijanich u. 5.;Szeged;6721;2048.07.22;167
Mihály Tibor;Búza utca 44.;Szeged;6710;2090.01.29;176
Gulyás Vivien;Kistópart u. 7. 1/3.;Szeged;6721;2044.05.04;168
Stranszky Ilona;Árpád utca 2.;Szeged;6721;2060.11.18;162
Szombathelyi Mária;Álmos u. 17.;Szeged;6710;2070.08.15;157
Varró Katalin;Kaszap u. 7. 5/26;Kecsekmét;6000;2042.11.15;151
Szabó András;Bocskai u.45.;Kecsekmét;6000;2082.05.08;171
Bella Ádám;Szabadságharcos utca 11.;Szeged;6710;2048.11.04;153
Juhász-Nagy Margit Zsuzsanna;Bajcsy-Zs. u. 51.;Hódmezővásárhely;6800;2052.05.15;166
Farkas  Máté;Lévai utca 3.;Szeged;6721;2092.01.10;155
Balog Csaba;Tompa Mihály u. 1.;Szeged;6722;2048.04.10;179
Sibán Gyöngyike;Kaszap u. 15. 9/49.;Szeged;6722;2043.05.10;178
Molnár Mária Tünde;Bajcsy-Zs. Utca 53. II. 11.;Szeged;6725;2049.08.21;158
Németh Edit;Kossuth Lajos utca 10.;Szeged;6710;2081.08.05;160
Szabó József;Búzavirág utca 28.;Szeged;6710;2073.10.15;154
Klenovszki Zoltán;Aranka u 43;Kecsekmét;6000;2066.09.06;175
Kiss Piroska;Csillag utca 14.;Szeged;6720;2088.05.10;163
Köteles Dávid;Tulipán u. 71.;Szeged;6721;2082.07.10;176
Bódi Bence;Oldalkosár u. 3.;Szeged;6722;2088.08.24;176
Imre Zsolt;Kistópart u. 7. 5/18;Kecsekmét;6000;2079.09.04;171
Mezei János Imre;Kinizsi u. 21.;Szeged;6722;2043.01.20;157
Busa Aranka;Köztársaság tér 21.;Szeged;6725;2072.02.10;179
Kiss Imre Alfréd;Szent László utca 142.;Kecsekmét;6000;2042.09.25;179
Unyi Attila;Rudnay Gyula utca 2.;Hódmezővásárhely;6800;2065.09.22;150
Gojdár Julianna;Zala György Lakótelep 2/B;Hódmezővásárhely;6800;2056.09.16;177
Lakatos Gábor;Kohán Gy. U. 7. A lh.III.e.7.;Hódmezővásárhely;6800;2053.07.11;159
Arany Ibolya;Szabadság tér 86 II.e.7.;Szeged;6725;2077.09.21;150
Vígh Szabolcs László;Mikszáth K. u. 4.;Szeged;6722;2076.05.04;175
Csányi Viktória Tímea;Pacsirta utca 30.;Hódmezővásárhely;6800;2089.01.15;178
Szamosi Éva;Kert utca 32.;Szeged;6721;2069.06.16;172
Szabó Szilvia;Fűrész utca 7.;Szeged;6725;2058.09.08;174
Kirtyán Tímea Éva;Dózsa György u. 65.;Szeged;6720;2054.02.07;174
Olasz Balázs Zsolt;Szent László u. 43.;Szeged;6722;2066.01.06;179
Becsei Barbara;Késmárk u. 2/A;Kecsekmét;6000;2057.01.18;168
Zsingellér Ildikó;Nádor u. 60/A;Szeged;6722;2083.07.24;151
Kristó Sándor Péter;Ady u. 12.;Szeged;6721;2056.06.04;161
Kosztolányi Zsolt;Dózsa Gy. u. 44.;Szeged;6720;2066.09.15;155
Mellár Mónika;Kutasi út.5.;Szeged;6725;2070.05.28;162
Csáki Mónika;Zrínyi u. 20.;Kecsekmét;6000;2078.07.15;177
Réczi Mónika;Pál u. 74.;Szeged;6722;2052.09.19;154
Détár Zsuzsanna;Bajcsy-Zsilinszky utca 6.;Szeged;6721;2057.02.10;153
Kis Katalin Etelka;Rudnay Gyula utca 24. C lph. 1 em. 4.a.;Szeged;6725;2079.05.27;176
Földházi Imre;Ormos Ede utca 12/A;Szeged;6710;2045.03.25;170
Hebők Bertalan;Mikszáth K. u. 4.;Szeged;6710;2080.07.29;158
Vigh Ibolya Borbála;Bem u. 18.;Szeged;6725;2087.03.05;175
Kecskeméti Bence Zoltán;Kaszap u. 25. VII.39.;Szeged;6710;2085.05.02;167
Polyák Gyöngyi;Bárány u. 43/a;Szeged;6721;2078.11.03;161
Nagy-György Richárd;Klauzál u.51.;Szeged;6725;2065.09.12;176
Hézső Csaba;Nádor u. 60/A;Szeged;6710;2076.09.13;167
Mészáros Erika;Rigó utca 12.;Szeged;6722;2057.03.30;161
Holly Mónika;Téglás u. 3.;Szeged;6721;2058.10.06;169
Sándor Erzsébet;Tanya 1024.;Szeged;6722;2086.03.24;176
Kószó Magdolna;Garzó Imre utca 6.;Kecsekmét;6000;2082.09.22;175
Györfi Írén;Mátyás u. 1.;Szeged;6725;2057.02.23;158
Dombi Ildikó;Jókai u. 32.;Szeged;6721;2049.03.31;152
Olasz Mónika;Ádám utca 66.;Szeged;6722;2046.01.22;171
Lászlai Ágota;Bánffy utca 6.;Szeged;6721;2081.08.12;169
Sós Gyöngyi;Bánát utca 15.;Szeged;6720;2079.09.14;154
Faragó Alice;Thököly u. 8.;Kecsekmét;6000;2053.07.27;152
Patkós Ida;Rostély u. 14.;Szeged;6710;2055.11.17;173
Redenczki János;Dózsa György u. 65.;Szeged;6721;2061.07.18;156
Sallai Martin Gergely;Késmárk u. 26.;Kecsekmét;6000;2059.09.31;167
Mészáros Gabriella;Pókföld egyéb 21.;Szeged;6721;2074.08.16;152
Bozó Erika;Takács F. u. 1/a.;Kecsekmét;6000;2066.03.06;168
Sipos Beatrix;Jókai utca 147.;Szeged;6710;2078.01.11;166
Rostás Erika;Temesvár utca 39.;Szeged;6725;2069.04.25;167
Berta Sándor;Almássy utca 16.;Hódmezővásárhely;6800;2089.08.25;159
Czakó Ildikó;Fűrész utca 7.;Szeged;6720;2085.05.31;180
Mihály Zoltán;Jókai utca 110.;Szeged;6721;2085.09.18;166
Báló István;Árok u. 7.;Kecsekmét;6000;2054.11.16;171
Mácsai Szilvia;Kodály Z. u. 2/A III.10.;Szeged;6710;2066.02.12;167
Molnár Dávid Bence;Kodály Zoltán utca 6/B;Szeged;6722;2087.03.08;175
Valkai Máté Dömötör;Bacsó B. u.7.;Szeged;6710;2069.01.10;168
Sándor Ilona Judit;Vörösmarty u. 28.;Szeged;6721;2064.05.17;174
Olasz Ibolyka Katalin;Téglás u. 3.;Szeged;6725;2057.08.07;171
Bihari Ilona;Kisfaludy utca 100.;Szeged;6725;2080.04.02;161
Zsoldos Dániel;Csomorkányi u. 14.;Szeged;6721;2055.09.19;155
Kulcsickaja Arkagyjevna Larisza;Csalogány utca 11.;Szeged;6720;2068.04.25;160
Kosztya Erzsébet;Szent László u. 1.;Szeged;6722;2056.03.25;160
Horváth Ádám Gergő;Észak u. 66.;Szeged;6722;2086.11.29;178
Ágoston Éva;Oldalkosár u. 16. 2/4.;Szeged;6720;2084.05.19;180
Fári Ádám Dániel;Rókusi körút 76. I/3;Hódmezővásárhely;6800;2053.05.12;150
Jónás Dániel;Ádám u. 16.;Hódmezővásárhely;6800;2049.01.27;159
Libor Éva Katalin;Vajhát Tanya 3570.;Szeged;6722;2068.08.07;164
Samu Roland;Fehér-tó dűlő 7.;Szeged;6725;2048.02.25;166
Pap Tamás;Észak u. 68.;Hódmezővásárhely;6800;2066.02.27;156
Téren Norbert Imre;Szőlőhegyi utca 38.;Szeged;6720;2047.11.31;179
Fazekas Gabriella;Tanya 953.;Hódmezővásárhely;6800;2059.08.13;168
Bánfi Tünde;Zrínyi u. 21.;Kecsekmét;6000;2081.06.10;167
Budai Zsolt;Ady Endre u. 76.;Szeged;6725;2066.08.15;167
Antal Lajos Balázs;Kistópart u. 7. 5/18;Szeged;6710;2081.01.20;153
Takács Ildikó;Bánk Bán u. 68.;Hódmezővásárhely;6800;2062.05.05;151
Török Zsolt;Jókai utca 110.;Szeged;6725;2058.09.19;161
Makszi Péter;Tanya1275;Szeged;6721;2046.02.23;173
Andrási Erika;Csalogány u. 33.;Szeged;6710;2057.05.24;170
Parrag Ilona;Rákóczi F. u. 92.;Szeged;6725;2066.07.30;153
Boda Krisztina Gabriella;Tópart u. 6.;Szeged;6725;2065.03.31;151
Király Anikó;Gellért u. 5.;Szeged;6722;2087.06.04;177
Kiss Gyöngyi;Kisfaludy utca 100.;Szeged;6710;2079.03.25;154
Szegedi Ildikó Rita;Juhász Mihály u. 1.;Szeged;6721;2082.09.15;159
Janovszki Katalin;Rostély u. 14.;Szeged;6725;2071.01.03;179
Kópiás Ibolya;Zrínyi utca 12.;Szeged;6722;2045.05.11;153
Gulyás Erzsébet;Pacsirta utca 14.;Kecsekmét;6000;2069.08.14;156
Ábrahám Klára;Csomorkányi u. 14.;Szeged;6722;2077.03.22;178
Tóth Éva;Makói út 21.;Szeged;6725;2043.03.05;157
Csányi Gabriella;Bocskai u.45.;Szeged;6725;2052.05.31;177
Pónya Gábor;Takács Ferenc u. 6.;Szeged;6710;2048.10.12;150
Török Csaba;Pókföld egyéb 21.;Szeged;6725;2088.03.11;165
Hegyi Bettina;Köztársaság utca 18.;Szeged;6721;2051.09.21;167
Csapó Csaba;Kossuth u. 46.;Kecsekmét;6000;2082.01.04;179
Márkus Mónika;Vasvári u. 5.;Hódmezővásárhely;6800;2076.09.28;158
Brlás Ádám;Mária Valéria u. 11-13.;Szeged;6722;2080.09.06;176
Antal Róbert;Kossuth u. 101.;Szeged;6721;2058.04.02;153
Benkő Erzsébet Sára;Pacsirta utca 2.;Szeged;6722;2045.09.26;174
Szepesi Judit;Aradi u. 81.;Szeged;6721;2076.08.02;171
Őze Zsolt;Oldalkosár u. 16. 2/4.;Szeged;6725;2064.08.09;169
Beregszászi Gergő;Munkácsy M. u.10.;Hódmezővásárhely;6800;2088.03.27;157
Pál Anikó;József A. u. 5.;Hódmezővásárhely;6800;2087.09.21;159
Német Mónika;Ormos Ede utca 14.;Szeged;6725;2054.05.13;160
Bugyi István;Kaszap utca 23. IV. e. 20.;Szeged;6720;2076.09.23;170
Keresztes Dóra Szintia;Nyár u. 60.;Kecsekmét;6000;2071.06.28;170
Juhász-Nagy Zoltán;Szabadság utca 79.;Szeged;6725;2061.09.16;154
Szenti Csaba;Bajcsy-Zs. u. 4.;Szeged;6720;2060.08.25;150
Szántó Zsuzsanna Julianna;Bánffy utca 6.;Szeged;6725;2081.02.08;152
Halmi Róbert György;Bartók Béla utca 70.;Szeged;6722;2072.04.24;161
Kardos Andrea;Bem u. 1.;Szeged;6720;2059.11.25;150
Mátrai Gábor;Kohán György utca 3/C 3.em 7.ajtó;Szeged;6710;2074.04.22;160
Prágai Zsolt;Tompa Mihály u. 1.;Szeged;6720;2065.05.27;154
Domonkos Etelka;Bajcsy-Zs. u. 4.;Szeged;6722;2067.09.05;176
Gadzik Márió;Síp u.2.;Szeged;6720;2043.03.03;168
Szűcs László;Tanya1275;Szeged;6725;2092.05.26;161
Borsodi Dávid;Kossuth út 96.;Szeged;6710;2057.09.12;160
Bugyi Tünde Hajnalka;Kistópart utca 7. V. e. 18.a;Szeged;6722;2045.09.10;155
Török Sándor;Búza utca 44.;Kecsekmét;6000;2091.10.23;159
Kiss Márk;József Attila utca 16.;Szeged;6725;2053.07.07;163
Farkas Viktor Máté;Kutasi út.5.;Szeged;6721;2067.08.29;174
Farsang Alexandra;Dohány u.2.;Hódmezővásárhely;6800;2045.09.10;150
Virág-Kis Alex;Bajza utca 32.;Szeged;6725;2077.05.23;179
Szalárdi Erika;Szabadság utca 27.;Kecsekmét;6000;2056.05.27;155
Chrappan Ákos;Lehel u.12. 5.em.16.a.;Szeged;6722;2047.03.22;166
Kalapács Róbert Artúr;Kaptár u.12.;Kecsekmét;6000;2066.02.27;168
Oláh Imre Attila;Dózsa Gy. u. 6.;Szeged;6720;2057.09.17;155
Almási Beáta;Szél utca 30.a;Hódmezővásárhely;6800;2084.07.13;157
Bakos Benjamin Zoltán;Nagy András János u. 57.;Szeged;6725;2081.09.16;174
Pap Katalin;Fűz u. 2;Kecsekmét;6000;2062.06.27;165
Rárósi Zsolt;Gellért u. 5.;Hódmezővásárhely;6800;2059.06.18;167
Kádár Zoltán Benjamin;Kisfaludy u. 63/A;Szeged;6722;2066.06.22;162
Kocsis Balázs;Fáncsy u. 40/a;Szeged;6725;2060.06.29;161
Berta Balázs;Arany János utca 35.;Szeged;6725;2089.02.13;175
Kálmán Tünde Petronella;Róka u. 13.;Szeged;6722;2088.08.21;156
Fekete Zoltán;Bajcsy Zs. E. u. 39.;Szeged;6721;2069.08.19;172
Verók Erzsébet;Tanya 190.;Hódmezővásárhely;6800;2058.08.03;156
Faragó Andrea;Tanya1275;Szeged;6720;2044.04.24;171
Domokos László;Kossuth L. u. 50.;Szeged;6720;2075.01.29;166
Kenéz Éva Erika;Mikszáth Kálmán u. 4.;Szeged;6725;2081.01.13;162
Szappanos Árpád;Mátyás Király utca 68.;Szeged;6722;2078.10.15;172
Apró Katalin;Széchenyi u. 16.;Szeged;6725;2079.02.09;174
Stephán Mária;Simon utca 1.;Szeged;6722;2081.10.22;164
Németh Péter;Árendás u. 10.;Kecsekmét;6000;2068.09.24;157
Farkas László;Kohán György utca 3/C 3.em 7.ajtó;Szeged;6725;2063.07.27;158
Rónyai Lajos;Rekettye utca 22.;Kecsekmét;6000;2058.11.04;176
Túri Rozália;Galamb utca 37/A.;Szeged;6720;2071.08.16;178
Semperger László;Hódtó u. 6. 10.em 60.;Kecsekmét;6000;2068.06.22;179
Dezső Viktor;Batida Gárdonyi u. 1.;Szeged;6710;2089.10.07;164
Pozsár Erzsébet;Tuhutum u. 13.;Kecsekmét;6000;2041.09.27;161
Budai Péter;Zrínyi utca 12.;Kecsekmét;6000;2070.07.09;158
Csala Éva;Hét Vezér tér 28.;Szeged;6720;2088.06.09;160
Orosz Dávid;Rákóczi F. u. 28.;Kecsekmét;6000;2063.06.27;164
Csányi Erika;Kert utca 23.;Hódmezővásárhely;6800;2085.05.06;163
Hódi Gábor;Dáni u. 38/A;Szeged;6725;2064.02.25;162
Hevesi Margit;Debreceni u. 1/b.;Kecsekmét;6000;2073.08.14;173
Szabó Julianna;Rákóczi utca 108.;Hódmezővásárhely;6800;2054.01.17;166
Hetényi Tamás;Dózsa Gy. u. 6.;Hódmezővásárhely;6800;2061.05.12;156
Fejős Erika;Rigó utca 12.;Kecsekmét;6000;2082.06.16;177
Bihari Dávid Imre;Táncsics M. u. 30. 3/IV/1.;Kecsekmét;6000;2081.06.16;157
Knapecz Rózsa;Tanya 4013.;Szeged;6722;2051.10.29;169
Czuczi Márta;Károlyi utca 96.;Szeged;6710;2053.05.05;162
Katona Krisztián;Sallai u. 70.;Szeged;6725;2045.11.27;156
Pongrácz Zsuzsanna;Dózsa György utca 40.;Szeged;6720;2058.04.20;155
Székács Klaudia Ildikó;Visszhang utca 5.;Kecsekmét;6000;2080.09.18;165
Nagy Olga;Galamb utca 12.;Szeged;6720;2073.05.15;166
Szűcs Erzsébet Irén;Thököly u. 8.;Hódmezővásárhely;6800;2091.11.17;177
Cseh Ágnes;Kun Béla u. 6.;Szeged;6722;2059.09.15;165
Sugár Edit;Liszt Ferenc u. 2. 2/4;Szeged;6722;2081.04.30;156
Fülöp Ádám;Munkácsy M. u. 1. 4/16.;Hódmezővásárhely;6800;2055.09.30;170
Bánhidi Enikő;Mikszáth Kálmán u. 4.;Szeged;6721;2053.01.04;157
Szecsei Anikó;Batida Gárdonyi u. 1.;Szeged;6722;2082.04.03;154
Gajdán Adrienn;Kodály Zoltán u. 8. III/16.;Szeged;6722;2052.07.12;156
Galántai Zoltán;Bibó Lajos utca 23/1;Szeged;6720;2042.05.22;158
Rostás Margit;Rákóczi utca 68.;Szeged;6722;2054.10.16;174
Karsai Tünde;Kistópart u.3.;Szeged;6720;2074.09.02;178
Kun Mariann;Kossuth L. u. 29.;Hódmezővásárhely;6800;2063.05.25;160
Péli Klára;Észak u. 6.;Szeged;6710;2067.09.17;152
Horváth Zoltán;Petőfi S. u. 3.;Szeged;6725;2043.09.11;160
Varga Krisztián;Mezőhegyesi utca 64.;Szeged;6725;2056.05.12;156
Kunos Dániel;Nádor utca 16.;Szeged;6720;2085.06.06;169
Poczik Zsuzsanna;Bélacigány u. 20.;Kecsekmét;6000;2082.03.13;151
Fodor Kornélia;Porgányi utca 24.;Szeged;6710;2058.04.27;171
Bányai Éva Katalin;Csengettyű köz 14.IX.26.;Szeged;6720;2047.09.08;177
Lévai Hajnalka Ilona;Visszhang utca 5.;Szeged;6710;2051.02.15;176
Rébék Levente;Tisza u. 22.;Kecsekmét;6000;2057.04.24;157
Rakonczai Irén;Petőfi Sándor u. 20/A;Szeged;6710;2051.10.12;170
Nagy Dávid Ferenc;Kanyargós utca 13.;Kecsekmét;6000;2046.07.07;165
Mester Tibor;Bálint utca 16.;Hódmezővásárhely;6800;2091.02.18;155
Makai Ferenc;Mátyás u. 41.;Szeged;6720;2088.04.08;160
Héjja Emese;Árendás u. 10.;Szeged;6710;2090.08.24;177
Nagy Erika;Mikecz utca 25.;Szeged;6720;2065.09.06;178
Görbe Róbert;Rákóczi Ferenc utca 76/a;Szeged;6725;2091.01.08;163
Homoki-Szabó Gergő Pál;Ádám utca 66.;Kecsekmét;6000;2078.04.18;150
Tóth Ágnes;Ér Part 7.;Szeged;6720;2082.03.22;152
Lakatos Piroska;Petőfi u. 21.;Kecsekmét;6000;2086.01.23;151
Kiss Dániel;Kisfaludy utca 107.;Hódmezővásárhely;6800;2042.08.05;172
Agócs Klára;Észak u. 66.;Kecsekmét;6000;2083.11.19;158
Angyal Rozália;Fűz u. 2;Szeged;6725;2043.09.27;169
Arany Ida;Szél u. 5.;Szeged;6722;2065.07.16;153
Acsai Anett;Álmos u. 28.;Szeged;6725;2084.09.14;177
Iványi Anna Dóra;Kossuth u. 101.;Szeged;6725;2080.01.05;151
Gerencsér Viktória;Tanya 4003/22;Szeged;6722;2085.04.07;158
Földesi Ádám;Kaszap utca 25. X. 60.;Szeged;6722;2073.07.24;178
Koczka Andrea Mariann;Szabadság u. 47.;Hódmezővásárhely;6800;2046.02.09;179
Győző-Molnár Hunor Attila;Hold utca 11.;Szeged;6722;2049.07.12;171
Koczka Erzsébet Tünde;Orgona u. 10.;Szeged;6725;2084.11.24;178
Kakucska Ildikó;Liszt Ferenc u. 4. 3/9.;Szeged;6721;2055.09.03;167
Bihari Teréz Mária;Szent László utca 142.;Szeged;6710;2048.09.21;166
Süli Rozália;Kert utca 23.;Szeged;6721;2063.01.18;157
Napkori György;Asztalos u. 21/a;Szeged;6710;2042.10.16;167
Reichel Dorisz;Szabadságharcos utca 11.;Szeged;6722;2053.01.21;157
Ménesi Gábor;Szőlőhegyi utca 38.;Hódmezővásárhely;6800;2092.04.03;176
Vass Evelin;Erdélyi utca 46.;Szeged;6722;2043.05.03;160
Kovács Krisztina Paula;Simon utca 1.;Kecsekmét;6000;2072.10.20;172
Muntyán Annamária;Lévai utca 90.;Szeged;6720;2063.04.07;179
Pék Róbert Gábor;Szt. László u. 39.;Szeged;6722;2062.06.26;162
Kotosz Tímea;Bánát utca 15.;Hódmezővásárhely;6800;2089.01.29;159
Krámli Tünde Éva;Lendvay utca 4/A;Kecsekmét;6000;2049.10.18;168
Árendás Judit;Szt. László u. 39.;Szeged;6710;2044.07.17;165
Mérai Mariann;Tanya 953.;Szeged;6720;2087.11.30;155
Hódi Rozália;Jókai u. 209.;Szeged;6722;2087.04.30;162
Ferenczi Erzsébet;Bárd utca 6.;Hódmezővásárhely;6800;2066.07.24;157
Barna Irma Klára;Tisza u. 22.;Szeged;6725;2066.09.07;167
Fürdök Ilona Mária;Szabadság tér 85.;Szeged;6722;2050.09.24;166
Hochheiser Judit;Csomorkányi u. 14.;Hódmezővásárhely;6800;2089.04.02;172
Kis Beáta;Petőfi u. 4.;Szeged;6721;2087.02.05;174
Vízhányó Krisztina;Köztársaság utca 18.;Szeged;6710;2084.03.11;173
Szarka Katalin;Bajcsy-Zsilinszky utca 6.;Szeged;6710;2065.08.15;168
Tamasik Ágnes;Lévai utca 3.;Szeged;6710;2084.03.06;162
Fodor László Gergely;Papszék dűlő 32/A;Szeged;6721;2059.09.14;180
Aradi Noémi;Gorkij u. 36.;Hódmezővásárhely;6800;2074.10.30;171
Vincze Dávid;Ormos Ede utca 14.;Szeged;6710;2081.02.19;156
Szalkai Gábor János;Jókai utca 255.;Szeged;6710;2061.09.17;153
Pál Katalin;Dáni u. 63.;Szeged;6725;2044.05.08;151
Magony Ferenc;Kard u. 6.;Szeged;6710;2052.09.28;170
Varga Zoltán;Eszperantó utca 3. I. 1.;Szeged;6721;2060.03.05;170
Tatár Katalin;Madách Imre utca 23.;Szeged;6722;2081.06.11;159
Paku Ilona;IV.Körzet Tanya 73.;Szeged;6710;2069.08.02;166
Kurgyis Erik;Fűrész utca 7.;Szeged;6721;2059.07.27;178
Mácsár Antal;Pacsirta u.7.;Hódmezővásárhely;6800;2086.05.18;157
Tóth Edit Ida;Kodály Zoltán utca 6/B;Hódmezővásárhely;6800;2057.09.27;163
Hackl Margit;Csomorkányi utca 65.;Szeged;6721;2080.10.11;170
Makács Erika;Madarász u. 12.;Kecsekmét;6000;2073.02.02;154
Nyilasi Ilona;Vörösmarty u. 28.;Szeged;6722;2068.04.03;170
Fejes Ilona;Bálint utca 16.;Szeged;6722;2065.03.10;175
Nagy Szilvia Rita;Csomorkányi utca 65.;Szeged;6725;2049.07.31;179
Pap-Lukács Tamás;Széchenyi u. 16.;Kecsekmét;6000;2067.09.06;158
Hortobágyi Edit;Berkenye u. 32.;Szeged;6725;2078.02.10;152
Sastin Róbert;Szabadság u. 47.;Szeged;6720;2074.11.02;160
Bujáki Ilona Zsuzsanna;Dózsa Gy. u. 44.;Hódmezővásárhely;6800;2081.04.04;165
Kiss Balázs;Hegedűs István utca 23.;Szeged;6721;2090.07.08;179
Szabó Mária;Nádor utca 16.;Szeged;6721;2074.03.03;150
Gálos Imre;Akácfa utca 8.;Szeged;6710;2046.09.30;152
Varga Balázs;Ady Endre utca 17.;Szeged;6720;2081.09.17;164
Wolford Erzsébet;Rárósi utca 65.;Szeged;6710;2091.10.04;156
Pintér Mária Mónika;Szabadság utca 79.;Szeged;6710;2072.05.07;152
Lukács Erika;Rév u. 36.;Kecsekmét;6000;2073.03.19;171
Urbán Ildikó;Hársfa utca 57.;Kecsekmét;6000;2072.04.12;170
Bajnóczi Viktor;Bélacigány u. 20.;Szeged;6725;2073.09.07;168
Sós Katalin Erzsébet;Petőfi utca 1.;Szeged;6710;2078.07.11;152
Borbás Zoltán;Tanya 1024.;Szeged;6710;2070.02.10;163
Tyukász Ildikó;Iskola utca 4.;Szeged;6710;2046.01.23;159
Simon Irén Erzsébet;Zrínyi utca 12.;Hódmezővásárhely;6800;2064.10.14;167
Kiss Adrienn;Arany János utca 35.;Szeged;6710;2074.09.15;163
Tölgyesi Judit;Táncsics Mihály utca 4/A;Kecsekmét;6000;2049.01.29;156
Arany Tóth Ernő;Gorkij u. 36.;Szeged;6725;2078.02.21;170
Nagy Sándor Antal;Kaszap utca 21. V. 15.;Kecsekmét;6000;2064.01.17;165
Lengyel Klára Ilona;Juhász Mihály u. 1.;Szeged;6720;2067.08.10;162
Nagy Gábor;Pálffy utca 11.;Szeged;6721;2046.05.20;164
Bozsogi Csaba;Agyag u. 5.;Szeged;6720;2087.02.10;161
Fazekas Tamás;Kard utca 9.;Szeged;6720;2047.07.10;155
Bakai Henrietta;Juhász Mihály u. 13.;Szeged;6721;2071.09.17;170
Hegedűs Irén;Kaszap utca 7. X/57.;Kecsekmét;6000;2081.08.20;153
Konti Ibolya Ilona;Török B. utca 16.;Szeged;6725;2061.05.07;151
Zombori Balázs Lajos;Kinizsi u. 42.;Szeged;6720;2064.06.13;157
Varga Zsolt;Dr. Banner J. u.11. 1/2.;Hódmezővásárhely;6800;2083.06.21;175
Pável Margit;Nyár u. 39/a;Szeged;6725;2077.04.07;152
Kiss Erzsébet;Béke utca 1.;Kecsekmét;6000;2077.06.07;167
Paku Éva;Ady E. u. 8.;Szeged;6720;2062.06.10;176
Miháy Katalin;Papszék dűlő 32/A;Szeged;6725;2068.07.11;170
Pap Márk;Kossuth u. 101.;Szeged;6710;2054.05.06;165
Olasz Edit  Terézia;Dáni u. 38/A;Szeged;6710;2087.02.21;178
Janka Melinda;Kossuth Lajos u. 3.;Kecsekmét;6000;2091.09.02;158
Nyíri Ilona Katalin;Révai utca 19.;Szeged;6721;2060.02.23;177
Kocsy Ágnes;Tanya 4033.;Szeged;6710;2053.06.11;170
Máté Gergely;Muskátli u. 5 .1/4;Szeged;6722;2046.10.10;176
Hájas Rozália;Dr. Banner J. u.11. 1/2.;Kecsekmét;6000;2042.03.02;174
Sovány Katalin Ágnes;Proletár u. 94.;Szeged;6725;2048.09.10;159
Arany Pál Martin;Petőfi u. 28.;Kecsekmét;6000;2081.10.26;152
Samu Vivien;Batthyány u. 27.;Szeged;6720;2073.09.13;157
Kristó Szilvia Ágnes;Kun Béla u. 6.;Hódmezővásárhely;6800;2065.09.03;154
Bollók Andrea;Fehér-tó dűlő 7.;Szeged;6720;2045.09.28;171
Belovai András;Rudnay Gyula utca 24. C lph. 1 em. 4.a.;Szeged;6721;2045.05.14;158
Presztóczki Irén;Martinovics u. 7.;Szeged;6722;2058.06.30;152
Molnár Erika;Ág u. 4.;Szeged;6710;2059.01.31;158
Hetényi Ferenc Zsolt;Tanya 3197.;Szeged;6721;2075.07.03;176
Hegyi Roland József;Bartók Béla u. 32.;Szeged;6725;2055.03.10;162
Búzási Ildikó;Nád utca 12.;Szeged;6725;2051.08.09;155
Nagyillés Margit;IV. ker. 109.;Szeged;6720;2067.09.02;158
Domján Erzsébet;Vajhát Tanya 3570.;Kecsekmét;6000;2070.11.02;173
Nagy Rozália;Mezőhegyesi utca 64.;Szeged;6721;2064.02.26;178
Bordás Zsuzsanna;Tanya 4033.;Szeged;6725;2055.10.12;171
Tóth Tamás János;Bajcsy-Zs. Utca 53. II. 11.;Szeged;6710;2065.05.26;170
Magony Endre János;György u. 12.;Szeged;6722;2085.05.04;171
Német Gábor;Mikszáth K. u. 4.;Kecsekmét;6000;2060.06.27;170
Sinka Mária;Kaszap utca 23. IV. e. 20.;Szeged;6725;2074.05.16;163
Varga Erika Julianna;Kemény utca 4.;Szeged;6722;2069.01.06;165
Kiss Etelka Mária;Almássy utca 16.;Szeged;6720;2047.10.07;151
Nyerges Mónika;Rárósi utca 65.;Szeged;6725;2053.09.26;165
Szabó Balázs;Lendvay utca 4/A;Szeged;6722;2050.09.15;160
Németh Norbert;Hont Ferenc utca 5/B V. 15.;Hódmezővásárhely;6800;2071.03.15;178
Forgó Géza;Horváth Gy. Utca 97.;Szeged;6721;2046.06.16;158
Ujváry Szilvia;Szúnyog utca 20.;Kecsekmét;6000;2063.03.10;177
Mónus Bálint;Dobozi utca 3.;Szeged;6710;2054.06.21;175
